Software,Version,CVE ID,Description
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-2491,"Integer overflow in pcre_compile.c in Perl Compatible Regular Expressions (PCRE) before 6.2, as used in multiple products such as Python, Ethereal, and PHP, allows attackers to execute arbitrary code via quantifier values in regular expressions, which leads to a heap-based buffer overflow."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-2875,"Py2Play allows remote attackers to execute arbitrary Python code via pickled objects, which Py2Play unpickles and executes."
Python 3.12.1 Executables (64-bit),3.12.1150.0,CVE-2005-3008,"Tofu 0.2 allows remote attackers to execute arbitrary Python code via crafted pickled objects, which Tofu unpickles and executes."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2002-0131,"ActivePython ActiveX control for Python in the AXScript package, when used in Internet Explorer, does not prevent a script from reading files from the client's filesystem, which allows remote attackers to read arbitrary files via a malicious web page containing Python script."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2002-1119,"os._execvpe from os.py in Python 2.2.1 and earlier creates temporary files with predictable names, which could allow local users to execute arbitrary code via a symlink attack."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2004-0150,"Buffer overflow in the getaddrinfo function in Python 2.2 before 2.2.2, when IPv6 support is disabled, allows remote attackers to execute arbitrary code via an IPv6 address that is obtained using DNS."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-0089,"The SimpleXMLRPCServer library module in Python 2.2, 2.3 before 2.3.5, and 2.4, when used by XML-RPC servers that use the register_instance method to register an object without a _dispatch method, allows remote attackers to read or modify globals of the associated module, and possibly execute arbitrary code, via dotted attributes."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-0852,"Microsoft Windows XP SP1 allows local users to cause a denial of service (system crash) via an empty datagram to a raw IP over IP socket (IP protocol 4), as originally demonstrated using code in Python 2.3."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-1632,"Cheetah 0.9.15 and 0.9.16 searches the /tmp directory for modules before using the paths in the PYTHONPATH variable, which allows local users to execute arbitrary code via a malicious module in /tmp/."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-2483,"Eval injection vulnerability in Karrigell before 2.1.8 allows remote attackers to execute arbitrary Python code via modified arguments to a Karrigell services (.ks) script, which can reference functions from libraries that are used by that script."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-2491,"Integer overflow in pcre_compile.c in Perl Compatible Regular Expressions (PCRE) before 6.2, as used in multiple products such as Python, Ethereal, and PHP, allows attackers to execute arbitrary code via quantifier values in regular expressions, which leads to a heap-based buffer overflow."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-2875,"Py2Play allows remote attackers to execute arbitrary Python code via pickled objects, which Py2Play unpickles and executes."
Python 3.12.1 Standard Library (64-bit),3.12.1150.0,CVE-2005-3008,"Tofu 0.2 allows remote attackers to execute arbitrary Python code via crafted pickled objects, which Tofu unpickles and executes."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2003-0048,"PuTTY 0.53b and earlier does not clear logon credentials from memory, including plaintext passwords, which could allow attackers with access to memory to steal the SSH credentials."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2003-0069,"The PuTTY terminal emulator 0.53 allows attackers to modify the window title via a certain character escape sequence and then insert it back to the command line in the user's terminal, e.g. when the user views a file containing the malicious sequence, which could allow the attacker to execute arbitrary commands."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2004-1440,"Multiple heap-based buffer overflows in the modpow function in PuTTY before 0.55 allow (1) remote attackers to execute arbitrary code via an SSH2 packet with a base argument that is larger than the mod argument, which causes the modpow function to write memory before the beginning of its buffer, and (2) remote malicious servers to cause a denial of service (client crash) and possibly execute arbitrary code via a large bignum during authentication."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2004-1008,"Integer signedness error in the ssh2_rdpkt function in PuTTY before 0.56 allows remote attackers to execute arbitrary code via a SSH2_MSG_DEBUG packet with a modified stringlen parameter, which leads to a buffer overflow."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2005-0467,"Multiple integer overflows in the (1) sftp_pkt_getstring and (2) fxp_readdir_recv functions in the PSFTP and PSCP clients for PuTTY 0.56, and possibly earlier versions, allow remote malicious web sites to execute arbitrary code via SFTP responses that corrupt the heap after insufficient memory has been allocated."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2006-7162,"PuTTY 0.59 and earlier uses weak file permissions for (1) ppk files containing private keys generated by puttygen and (2) session logs created by putty, which allows local users to gain sensitive information by reading these files."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2013-4206,"Heap-based buffer underflow in the modmul function in sshbn.c in PuTTY before 0.63 allows remote SSH servers to cause a denial of service (crash) and possibly trigger memory corruption or code execution via a crafted DSA signature, which is not properly handled when performing certain bit-shifting operations during modular multiplication."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2013-4207,"Buffer overflow in sshbn.c in PuTTY before 0.63 allows remote SSH servers to cause a denial of service (crash) via an invalid DSA signature that is not properly handled during computation of a modular inverse and triggers the overflow during a division by zero by the bignum functionality, a different vulnerability than CVE-2013-4206."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2013-4208,"The rsa_verify function in PuTTY before 0.63 (1) does not clear sensitive process memory after use and (2) does not free certain structures containing sensitive process memory, which might allow local users to discover private RSA and DSA keys."
PuTTY release 0.78 (64-bit),0.78.0.0,CVE-2013-4852,"Integer overflow in PuTTY 0.62 and earlier, WinSCP before 5.1.6, and other products that use PuTTY allows remote SSH servers to cause a denial of service (crash) and possibly execute arbitrary code in certain applications that use PuTTY via a negative size value in an RSA key signature during the SSH handshake, which triggers a heap-based buffer overflow."
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Bonjour,3.1.0.1,CVE-2007-0613,"The Bonjour functionality in mDNSResponder, iChat 3.1.6, and InstantMessage framework 428 in Apple Mac OS X 10.4.8 does not check for duplicate entries when adding newly discovered available contacts, which allows remote attackers to cause a denial of service (disrupted communication) via a flood of duplicate _presence._tcp mDNS queries."
Bonjour,3.1.0.1,CVE-2007-0614,"The Bonjour functionality in mDNSResponder, iChat 3.1.6, and InstantMessage framework 428 in Apple Mac OS X 10.4.8 allows remote attackers to cause a denial of service (persistent application crash) via a crafted phsh hash attribute in a TXT key."
Bonjour,3.1.0.1,CVE-2007-0710,"The Bonjour functionality in iChat in Apple Mac OS X 10.3.9 allows remote attackers to cause a denial of service (persistent application crash) via unspecified vectors, possibly related to CVE-2007-0614."
Bonjour,3.1.0.1,CVE-2008-2326,mDNSResponder in the Bonjour Namespace Provider in Apple Bonjour for Windows before 1.0.5 allows attackers to cause a denial of service (NULL pointer dereference and application crash) by resolving a crafted .local domain name that contains a long label.
Bonjour,3.1.0.1,CVE-2008-3630,"mDNSResponder in Apple Bonjour for Windows before 1.0.5, when an application uses the Bonjour API for unicast DNS, does not choose random values for transaction IDs or source ports in DNS requests, which makes it easier for remote attackers to spoof DNS responses, a different vulnerability than CVE-2008-1447."
Bonjour,3.1.0.1,CVE-2016-1364,"Cisco Wireless LAN Controller (WLC) Software 7.4 before 7.4.130.0(MD) and 7.5, 7.6, and 8.0 before 8.0.110.0(ED) allows remote attackers to cause a denial of service (device reload) via crafted Bonjour traffic, aka Bug ID CSCur66908."
Bonjour,3.1.0.1,CVE-2011-0220,Apple Bonjour before 2011 allows a crash via a crafted multicast DNS packet.
Bonjour,3.1.0.1,CVE-2025-22262,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in NotFound Bonjour Bar allows Stored XSS. This issue affects Bonjour Bar: from n/a through 1.0.0.
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2002-0131,"ActivePython ActiveX control for Python in the AXScript package, when used in Internet Explorer, does not prevent a script from reading files from the client's filesystem, which allows remote attackers to read arbitrary files via a malicious web page containing Python script."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2002-1119,"os._execvpe from os.py in Python 2.2.1 and earlier creates temporary files with predictable names, which could allow local users to execute arbitrary code via a symlink attack."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2004-0150,"Buffer overflow in the getaddrinfo function in Python 2.2 before 2.2.2, when IPv6 support is disabled, allows remote attackers to execute arbitrary code via an IPv6 address that is obtained using DNS."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-0089,"The SimpleXMLRPCServer library module in Python 2.2, 2.3 before 2.3.5, and 2.4, when used by XML-RPC servers that use the register_instance method to register an object without a _dispatch method, allows remote attackers to read or modify globals of the associated module, and possibly execute arbitrary code, via dotted attributes."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-0852,"Microsoft Windows XP SP1 allows local users to cause a denial of service (system crash) via an empty datagram to a raw IP over IP socket (IP protocol 4), as originally demonstrated using code in Python 2.3."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-1632,"Cheetah 0.9.15 and 0.9.16 searches the /tmp directory for modules before using the paths in the PYTHONPATH variable, which allows local users to execute arbitrary code via a malicious module in /tmp/."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-2483,"Eval injection vulnerability in Karrigell before 2.1.8 allows remote attackers to execute arbitrary Python code via modified arguments to a Karrigell services (.ks) script, which can reference functions from libraries that are used by that script."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-2491,"Integer overflow in pcre_compile.c in Perl Compatible Regular Expressions (PCRE) before 6.2, as used in multiple products such as Python, Ethereal, and PHP, allows attackers to execute arbitrary code via quantifier values in regular expressions, which leads to a heap-based buffer overflow."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-2875,"Py2Play allows remote attackers to execute arbitrary Python code via pickled objects, which Py2Play unpickles and executes."
Python 3.12.1 Documentation (64-bit),3.12.1150.0,CVE-2005-3008,"Tofu 0.2 allows remote attackers to execute arbitrary Python code via crafted pickled objects, which Tofu unpickles and executes."
iTunes,12.11.3.17,CVE-2005-0043,Buffer overflow in Apple iTunes 4.7 allows remote attackers to execute arbitrary code via a long URL in (1) .m3u or (2) .pls playlist files.
iTunes,12.11.3.17,CVE-2005-1248,Buffer overflow in Apple iTunes before 4.8 allows remote attackers to execute arbitrary code via a crafted MPEG4 file.
iTunes,12.11.3.17,CVE-2005-2938,Unquoted Windows search path vulnerability in iTunesHelper.exe in iTunes 4.7.1.30 and iTunes 5 for Windows might allow local users to gain privileges via a malicious C:\program.exe file.
iTunes,12.11.3.17,CVE-2005-4092,"Multiple heap-based buffer overflows in QuickTime.qts in Apple QuickTime Player 7.0.3 and iTunes 6.0.1 (3) and earlier allow remote attackers to cause a denial of service (crash) and execute arbitrary code via a .mov file with (1) a Movie Resource atom with a large size value, or (2) an stsd atom with a modified Sample Description Table size value, and possibly other vectors involving media files.  NOTE: item 1 was originally identified by CVE-2005-4127 for a pre-patch announcement, and item 2 was originally identified by CVE-2005-4128 for a pre-patch announcement."
iTunes,12.11.3.17,CVE-2006-1249,Integer overflow in Apple QuickTime Player 7.0.3 and 7.0.4 and iTunes 6.0.1 and 6.0.2 allows remote attackers to execute arbitrary code via a FlashPix (FPX) image that contains a field that specifies a large number of blocks.
iTunes,12.11.3.17,CVE-2006-1467,"Integer overflow in the AAC file parsing code in Apple iTunes before 6.0.5 on Mac OS X 10.2.8 or later, and Windows XP and 2000, allows remote user-assisted attackers to execute arbitrary code via an AAC (M4P, M4A, or M4B) file with a sample table size (STSZ) atom with a ""malformed"" sample_size_table value."
iTunes,12.11.3.17,CVE-2007-1008,"Apple iTunes 7.0.2 allows user-assisted remote attackers to cause a denial of service (application crash) via a crafted XML list of radio stations, which results in memory corruption.  NOTE: iTunes retrieves the XML document from a static URL, which requires an attacker to perform DNS spoofing or man-in-the-middle attacks for exploitation."
iTunes,12.11.3.17,CVE-2007-4243,"Unspecified vulnerability in pfilter-reporter.pl in Astaro Security Gateway (ASG) 7 allows remote attackers to cause a denial of service (CPU consumption) via certain network traffic, as demonstrated by P2P and iTunes applications that download large amounts of data."
iTunes,12.11.3.17,CVE-2007-3752,Heap-based buffer overflow in Apple iTunes before 7.4 allows remote attackers to cause a denial of service (application crash) or execute arbitrary code via crafted album cover art in the covr atom of an MP4/AAC file.
iTunes,12.11.3.17,CVE-2008-3434,"Apple iTunes before 10.5.1 does not properly verify the authenticity of updates, which allows man-in-the-middle attackers to execute arbitrary code via a Trojan horse update, as demonstrated by evilgrade and DNS cache poisoning."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0179,"Windows NT crashes or locks up when a Samba client executes a ""cd .."" command on a file share."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0249,Windows NT RSHSVC program allows remote users to execute arbitrary commands.
Windows PC Health Check,3.6.2204.08001,CVE-1999-0274,Denial of service in Windows NT DNS servers through malicious packet which contains a response to a query that wasn't made.
Windows PC Health Check,3.6.2204.08001,CVE-1999-0345,Jolt ICMP attack causes a denial of service in Windows 95 and Windows NT systems.
Windows PC Health Check,3.6.2204.08001,CVE-1999-0496,"A Windows NT 4.0 user can gain administrative rights by forcing NtOpenProcessToken to succeed regardless of the user's permissions, aka GetAdmin."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0503,A Windows NT local user or administrator account has a guessable password.
Windows PC Health Check,3.6.2204.08001,CVE-1999-0504,"A Windows NT local user or administrator account has a default, null, blank, or missing password."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0534,"A Windows NT user has inappropriate rights or privileges, e.g. Act as System, Add Workstation, Backup, Change System Time, Create Pagefile, Create Permanent Object, Create Token Name, Debug, Generate Security Audit, Increase Priority, Increase Quota, Load Driver, Lock Memory, Profile Single Process, Remote Shutdown, Replace Process Token, Restore, System Environment, Take Ownership, or Unsolicited Input."
Windows PC Health Check,3.6.2204.08001,CVE-1999-0535,"A Windows NT account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness."
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0012,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-1556,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value."
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0288,"The WINS server in Microsoft Windows NT 4.0 before SP4 allows remote attackers to cause a denial of service (process termination) via invalid UDP frames to port 137 (NETBIOS Name Service), as demonstrated via a flood of random packets."
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-1291,"TCP/IP implementation in Microsoft Windows 95, Windows NT 4.0, and possibly others, allows remote attackers to reset connections by forcing a reset (RST) via a PSH ACK or other means, obtaining the target's last sequence number from the resulting packet, then spoofing a reset to the target."
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0364,"Microsoft Access 97 stores a database password as plaintext in a foreign mdb, allowing access to data."
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-1544,Buffer overflow in FTP server in Microsoft IIS 3.0 and 4.0 allows local and sometimes remote attackers to cause a denial of service via a long NLST (ls) command.
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0379,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.
Microsoft Visual Studio Installer,3.13.2069.59209,CVE-1999-0419,"When the Microsoft SMTP service attempts to send a message to a server and receives a 4xx error code, it quickly and repeatedly attempts to redeliver the message, causing a denial of service."
Apple Mobile Device Support,14.5.0.7,CVE-1999-0142,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.
Apple Mobile Device Support,14.5.0.7,CVE-1999-0141,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.
Apple Mobile Device Support,14.5.0.7,CVE-1999-1262,"Java in Netscape 4.5 does not properly restrict applets from connecting to other hosts besides the one from which the applet was loaded, which violates the Java security model and could allow remote attackers to conduct unauthorized activities."
Apple Mobile Device Support,14.5.0.7,CVE-1999-1015,Buffer overflow in Apple AppleShare Mail Server 5.0.3 on MacOS 8.1 and earlier allows a remote attacker to cause a denial of service (crash) via a long HELO command.
Apple Mobile Device Support,14.5.0.7,CVE-1999-1393,"Control Panel ""Password Security"" option for Apple Powerbooks allows attackers with physical access to the machine to bypass the security by booting it with an emergency startup disk and using a disk editor to modify the on/off toggle or password in the aaaaaaaAPWD file, which is normally inaccessible."
Apple Mobile Device Support,14.5.0.7,CVE-1999-1412,"A possible interaction between Apple MacOS X release 1.0 and Apache HTTP server allows remote attackers to cause a denial of service (crash) via a flood of HTTP GET requests to CGI programs, which generates a large number of processes."
Apple Mobile Device Support,14.5.0.7,CVE-1999-0766,The Microsoft Java Virtual Machine allows a malicious Java applet to execute arbitrary commands outside of the sandbox environment.
Apple Mobile Device Support,14.5.0.7,CVE-2000-0327,"Microsoft Virtual Machine (VM) allows remote attackers to escape the Java sandbox and execute commands via an applet containing an illegal cast operation, aka the ""Virtual Machine Verifier"" vulnerability."
Apple Mobile Device Support,14.5.0.7,CVE-1999-0793,Internet Explorer allows remote attackers to read files by redirecting data to a Javascript applet.
Apple Mobile Device Support,14.5.0.7,CVE-2000-0162,"The Microsoft virtual machine (VM) in Internet Explorer 4.x and 5.x allows a remote attacker to read files via a malicious Java applet that escapes the Java sandbox, aka the ""VM File Reading"" vulnerability."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0179,"Windows NT crashes or locks up when a Samba client executes a ""cd .."" command on a file share."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0249,Windows NT RSHSVC program allows remote users to execute arbitrary commands.
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0274,Denial of service in Windows NT DNS servers through malicious packet which contains a response to a query that wasn't made.
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0345,Jolt ICMP attack causes a denial of service in Windows 95 and Windows NT systems.
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0496,"A Windows NT 4.0 user can gain administrative rights by forcing NtOpenProcessToken to succeed regardless of the user's permissions, aka GetAdmin."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0503,A Windows NT local user or administrator account has a guessable password.
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0504,"A Windows NT local user or administrator account has a default, null, blank, or missing password."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0534,"A Windows NT user has inappropriate rights or privileges, e.g. Act as System, Add Workstation, Backup, Change System Time, Create Pagefile, Create Permanent Object, Create Token Name, Debug, Generate Security Audit, Increase Priority, Increase Quota, Load Driver, Lock Memory, Profile Single Process, Remote Shutdown, Replace Process Token, Restore, System Environment, Take Ownership, or Unsolicited Input."
Windows App Certification Kit Native Components,10.1.22621.3233,CVE-1999-0535,"A Windows NT account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0179,"Windows NT crashes or locks up when a Samba client executes a ""cd .."" command on a file share."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0249,Windows NT RSHSVC program allows remote users to execute arbitrary commands.
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0274,Denial of service in Windows NT DNS servers through malicious packet which contains a response to a query that wasn't made.
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0345,Jolt ICMP attack causes a denial of service in Windows 95 and Windows NT systems.
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0496,"A Windows NT 4.0 user can gain administrative rights by forcing NtOpenProcessToken to succeed regardless of the user's permissions, aka GetAdmin."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0503,A Windows NT local user or administrator account has a guessable password.
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0504,"A Windows NT local user or administrator account has a default, null, blank, or missing password."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0534,"A Windows NT user has inappropriate rights or privileges, e.g. Act as System, Add Workstation, Backup, Change System Time, Create Pagefile, Create Permanent Object, Create Token Name, Debug, Generate Security Audit, Increase Priority, Increase Quota, Load Driver, Lock Memory, Profile Single Process, Remote Shutdown, Replace Process Token, Restore, System Environment, Take Ownership, or Unsolicited Input."
Windows SDK DirectX x64 Remote,10.1.22621.3233,CVE-1999-0535,"A Windows NT account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2002-0131,"ActivePython ActiveX control for Python in the AXScript package, when used in Internet Explorer, does not prevent a script from reading files from the client's filesystem, which allows remote attackers to read arbitrary files via a malicious web page containing Python script."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2002-1119,"os._execvpe from os.py in Python 2.2.1 and earlier creates temporary files with predictable names, which could allow local users to execute arbitrary code via a symlink attack."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2004-0150,"Buffer overflow in the getaddrinfo function in Python 2.2 before 2.2.2, when IPv6 support is disabled, allows remote attackers to execute arbitrary code via an IPv6 address that is obtained using DNS."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-0089,"The SimpleXMLRPCServer library module in Python 2.2, 2.3 before 2.3.5, and 2.4, when used by XML-RPC servers that use the register_instance method to register an object without a _dispatch method, allows remote attackers to read or modify globals of the associated module, and possibly execute arbitrary code, via dotted attributes."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-0852,"Microsoft Windows XP SP1 allows local users to cause a denial of service (system crash) via an empty datagram to a raw IP over IP socket (IP protocol 4), as originally demonstrated using code in Python 2.3."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-1632,"Cheetah 0.9.15 and 0.9.16 searches the /tmp directory for modules before using the paths in the PYTHONPATH variable, which allows local users to execute arbitrary code via a malicious module in /tmp/."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-2483,"Eval injection vulnerability in Karrigell before 2.1.8 allows remote attackers to execute arbitrary Python code via modified arguments to a Karrigell services (.ks) script, which can reference functions from libraries that are used by that script."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-2491,"Integer overflow in pcre_compile.c in Perl Compatible Regular Expressions (PCRE) before 6.2, as used in multiple products such as Python, Ethereal, and PHP, allows attackers to execute arbitrary code via quantifier values in regular expressions, which leads to a heap-based buffer overflow."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-2875,"Py2Play allows remote attackers to execute arbitrary Python code via pickled objects, which Py2Play unpickles and executes."
Python 3.12.1 Development Libraries (64-bit),3.12.1150.0,CVE-2005-3008,"Tofu 0.2 allows remote attackers to execute arbitrary Python code via crafted pickled objects, which Tofu unpickles and executes."
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-1999-1259,"Microsoft Office 98, Macintosh Edition, does not properly initialize the disk space used by Office 98 files and effectively inserts data from previously deleted files into the Office file, which could allow attackers to obtain sensitive information."
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-1999-1294,"Office Shortcut Bar (OSB) in Windows 3.51 enables backup and restore permissions, which are inherited by programs such as File Manager that are started from the Shortcut Bar, which could allow local users to read folders for which they do not have permission."
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0203,The Trend Micro OfficeScan client tmlisten.exe allows remote attackers to cause a denial of service via malformed data to port 12345.
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0204,"The Trend Micro OfficeScan client allows remote attackers to cause a denial of service by making 5 connections to port 12345, which raises CPU utilization to 100%."
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0205,Trend Micro OfficeScan allows remote attackers to replay administrative commands and modify the configuration of OfficeScan clients.
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0291,Buffer overflow in Star Office 5.1 allows attackers to cause a denial of service by embedding a long URL within a document.
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0419,"The Office 2000 UA ActiveX Control is marked as ""safe for scripting,"" which allows remote attackers to conduct unauthorized activities via the ""Show Me"" function in Office Help, aka the ""Office 2000 UA Control"" vulnerability."
Office 16 Click-to-Run Licensing Component,16.0.18526.20168,CVE-2000-0597,"Microsoft Office 2000 (Excel and PowerPoint) and PowerPoint 97 are marked as safe for scripting, which allows remote attackers to force Internet Explorer or some email clients to save files to arbitrary locations via the Visual Basic for Applications (VBA) SaveAs function, aka the ""Office HTML Script"" vulnerability."
